,TlRgY7CA_Sw,1,1,1606993450.2270029
,cSqRSXysFHU,0,1,1606993450.291317
,ZesJwAwCQVI,0,1,1606993450.353922
,J1LSwJ_0Mz0,0,1,1606993450.3968732
,R0xaA4dYsbQ,0,1,1606993450.4206164
,gAuYLXuTmCw,0,1,1606993450.4697232
,g45IBfQEV50,0,1,1606993450.495836
,wzyj834bfGU,0,1,1606993450.52102
,wzyj834bfGU,0,1,1606993450.5453496
,AKuqjFE5XK4,0,1,1606993450.5713406
,5TP65tW0qLQ,0,1,1606993450.5967765
,8Km5m_fksZs,0,1,1606993450.6230545
,3T2Z7Xfo-zc,0,1,1606993450.6708624
,YBrpDxmSbdM,0,1,1606993450.7315845
,f4Tl6H0qu7k,0,1,1606993450.7689936
,6FSqQjvfSa0,0,1,1606993450.8010752
,F5KUEDgUjrk,0,1,1606993450.8391771
,qGNzyNNUMkw,0,1,1606993450.8633595
,wDEXNrCQKx8,0,1,1606993450.888994
,zxceJ01Hroc,0,1,1606993450.9153466
TlRgY7CA_Sw,EINRNjCYTXY,1,0,1606993456.5762746
TlRgY7CA_Sw,AnYnFUHbtUU,0,0,1606993456.6764154
TlRgY7CA_Sw,CV-YDccUxD4,0,0,1606993456.7584968
TlRgY7CA_Sw,xumfir54xb4,0,0,1606993456.830393
TlRgY7CA_Sw,Rl4Q7mMzQsI,0,0,1606993456.8900173
TlRgY7CA_Sw,KSZqctcyUSg,0,0,1606993456.9634526
TlRgY7CA_Sw,EbtMdesFAUM,0,0,1606993457.0235057
TlRgY7CA_Sw,N_EKXtviYI0,0,0,1606993457.0813634
TlRgY7CA_Sw,TiVNgBq8Sl0,0,0,1606993457.1413505
TlRgY7CA_Sw,Sny6vUUuvyc,0,0,1606993457.203813
TlRgY7CA_Sw,j1zn4EiwKwE,0,0,1606993457.2629883
TlRgY7CA_Sw,ZesJwAwCQVI,0,0,1606993457.3362713
TlRgY7CA_Sw,SoaJCrC-v30,0,0,1606993457.3935812
TlRgY7CA_Sw,dkva8YY6Cmk,0,0,1606993457.454148
TlRgY7CA_Sw,VfKhKBJ5lcY,0,0,1606993457.52075
TlRgY7CA_Sw,msI61Sm_TSs,0,0,1606993457.5843377
TlRgY7CA_Sw,vrhQTfuFr4E,0,0,1606993457.6652431
TlRgY7CA_Sw,R2xI0vS3zPE,0,0,1606993457.724069
TlRgY7CA_Sw,cOnWZMYFESk,0,0,1606993457.782175
TlRgY7CA_Sw,9nUPW5xWHy0,0,0,1606993457.838603
,YzzHRmYkKQ4,1,1,1606993643.6539912
,vCNytRTDtZ0,0,1,1606993643.68365
,g45IBfQEV50,0,1,1606993643.7153714
,bPAdYOuaBYo,0,1,1606993643.741555
,iTzNARVdvfs,0,1,1606993643.768787
,6uXgJWQt2tg,0,1,1606993643.8121207
,afOrfMbgULM,0,1,1606993643.840057
,AKuqjFE5XK4,0,1,1606993643.8684201
,AKuqjFE5XK4,0,1,1606993643.8956575
,5TP65tW0qLQ,0,1,1606993643.9289718
,8Km5m_fksZs,0,1,1606993643.9595168
,YBrpDxmSbdM,0,1,1606993644.0051062
,f4Tl6H0qu7k,0,1,1606993644.0341043
,F5KUEDgUjrk,0,1,1606993644.0597684
,6FSqQjvfSa0,0,1,1606993644.1029534
,qGNzyNNUMkw,0,1,1606993644.1413093
,zxceJ01Hroc,0,1,1606993644.1736069
,qn4BKWLCfwY,0,1,1606993644.2058012
,aB9iW-jfQkE,0,1,1606993644.2342734
,1f4YwVPjwPY,0,1,1606993644.26617
